"Dataset_Type","Sample_Size","Simulation","n","p","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Null Synthetic",50,1,50,200,1.38051261805494,0.0796019900497512,FALSE,1.1422472749372,0.093,FALSE,1.05721542371336,0.298,FALSE,1.11969809361491,0.222,FALSE,1.05575264262631,0.343,FALSE,1.06559642674471,0.34,FALSE,"Euclidean",1.1422472749372
"Null Real Shuffled",100,2,100,130,0.757695878088189,0.940298507462687,FALSE,0.642454409523532,0.803,FALSE,0.608681113411387,0.807,FALSE,0.460753967520122,0.685,FALSE,0.578680676340271,0.739,FALSE,0.286432684772581,0.769,FALSE,"Euclidean",0.642454409523532
"Null Real Shuffled",100,17,100,130,1.1410635050781,0.611940298507463,FALSE,0.793780518740277,0.641,FALSE,0.987347335113283,0.415,FALSE,4.87873838519012,0.007,TRUE,1.15099771894588,0.333,FALSE,6.43765502633468,0.002,TRUE,"UnweightedUniFrac",6.43765502633468
"Null Synthetic",200,17,200,200,1.21503483904598,0.805970149253731,FALSE,0.878546827896227,0.884,FALSE,0.767459123626301,0.977,FALSE,1.01101475320761,0.475,FALSE,0.91274177169354,0.644,FALSE,1.03142619413593,0.424,FALSE,"UnweightedUniFrac",1.03142619413593
"Null Real Shuffled",200,17,200,130,1.55981414053266,0.233830845771144,FALSE,1.38752049874646,0.14,FALSE,1.41323052432664,0.174,FALSE,-0.0483619744078361,0.969,FALSE,1.07558512366327,0.365,FALSE,-0.135022793312145,0.98,FALSE,"BrayCurtis",1.41323052432664
"Null Synthetic",50,18,50,200,1.23867932733202,0.437810945273632,FALSE,1.0585061362559,0.284,FALSE,1.06977779803299,0.258,FALSE,0.723553826572812,0.955,FALSE,1.00418619348311,0.43,FALSE,0.674071732662498,0.954,FALSE,"BrayCurtis",1.06977779803299
"Null Real Shuffled",50,18,50,130,0.928029890004643,0.850746268656716,FALSE,0.78058194795258,0.711,FALSE,0.907275429188231,0.498,FALSE,0.396695393620004,0.728,FALSE,1.28159093932392,0.241,FALSE,0.497417060921792,0.601,FALSE,"WeightedUniFrac",1.28159093932392
"Null Synthetic",100,18,100,200,1.17836264993657,0.830845771144279,FALSE,0.915988083199594,0.809,FALSE,0.901806597073035,0.821,FALSE,1.07952045873418,0.331,FALSE,0.839639758631914,0.774,FALSE,0.908105940857496,0.647,FALSE,"Jaccard",1.07952045873418
"Null Real Shuffled",100,18,100,130,1.07370510117376,0.701492537313433,FALSE,0.814880725254131,0.615,FALSE,1.33524147875018,0.214,FALSE,0.516129430407156,0.648,FALSE,1.5512178276584,0.164,FALSE,0.489156512646048,0.665,FALSE,"WeightedUniFrac",1.5512178276584
"Null Synthetic",200,18,200,200,1.4712861387937,0.189054726368159,FALSE,1.10371353087227,0.153,FALSE,1.02045042507267,0.421,FALSE,0.940446713575306,0.64,FALSE,0.89906857123687,0.664,FALSE,0.998795323605415,0.482,FALSE,"Euclidean",1.10371353087227
"Null Real Shuffled",200,18,200,130,0.790607121338684,0.935323383084577,FALSE,0.5360007568684,0.947,FALSE,0.466833307175213,0.9,FALSE,0.463226196352702,0.692,FALSE,0.529204131075601,0.762,FALSE,0.276720726494713,0.792,FALSE,"Euclidean",0.5360007568684
